
  Apex Trust Bank — Web Server
  http://localhost:5005

 * Serving Flask app 'server'
 * Debug mode: on
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5005
[33mPress CTRL+C to quit[0m
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 124-350-404
127.0.0.1 - - [08/Mar/2026 15:47:48] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:52:15] "[36mGET / HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Mar/2026 15:52:15] "[36mGET /static/style.css HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Mar/2026 15:52:15] "[36mGET /static/logo.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Mar/2026 15:52:15] "GET /api/me HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:52:15] "GET /api/accounts HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:52:15] "GET /api/alerts HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:52:15] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:52:15] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:52:15] "GET /api/accounts/1/transactions HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:52:15] "GET /api/accounts/2/transactions HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:52:45] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:52:45] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:53:15] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:53:15] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:53:45] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:53:45] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:54:15] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:54:15] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:54:23] "[33mGET /logout HTTP/1.1[0m" 404 -
127.0.0.1 - - [08/Mar/2026 15:54:50] "[36mGET / HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Mar/2026 15:54:51] "[36mGET /static/style.css HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Mar/2026 15:54:51] "[36mGET /static/logo.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Mar/2026 15:54:51] "GET /api/me HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:54:51] "GET /api/accounts HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:54:51] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:54:51] "GET /api/alerts HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:54:51] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:54:51] "GET /api/accounts/1/transactions HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:54:51] "GET /api/accounts/2/transactions HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:55:08] "[33mGET /login HTTP/1.1[0m" 404 -
127.0.0.1 - - [08/Mar/2026 15:55:24] "[36mGET / HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Mar/2026 15:55:24] "[36mGET /static/style.css HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Mar/2026 15:55:24] "[36mGET /static/logo.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Mar/2026 15:55:24] "GET /api/me HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:55:24] "GET /api/accounts HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:55:24] "GET /api/alerts HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:55:24] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:55:24] "GET /api/accounts/1/transactions HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:55:24] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:55:24] "GET /api/accounts/2/transactions HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:55:37] "[33mGET /static/script.js HTTP/1.1[0m" 404 -
127.0.0.1 - - [08/Mar/2026 15:56:05] "[36mGET / HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Mar/2026 15:56:05] "[36mGET /static/style.css HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Mar/2026 15:56:05] "[36mGET /static/logo.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Mar/2026 15:56:06] "GET /api/me HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:56:06] "GET /api/accounts HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:56:06] "GET /api/alerts HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:56:06] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:56:06] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:56:06] "GET /api/accounts/1/transactions HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:56:06] "GET /api/accounts/2/transactions HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:56:20] "[33mGET /static/app.js HTTP/1.1[0m" 404 -
127.0.0.1 - - [08/Mar/2026 15:56:35] "[36mGET / HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Mar/2026 15:56:35] "[36mGET /static/logo.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Mar/2026 15:56:35] "[36mGET /static/style.css HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Mar/2026 15:56:35] "GET /api/me HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:56:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:56:35] "GET /api/accounts HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:56:35] "GET /api/alerts HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:56:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:56:35] "GET /api/accounts/1/transactions HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:56:35] "GET /api/accounts/2/transactions HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:57:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:57:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:57:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:57:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:58:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:58:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:58:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:58:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:59:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:59:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:59:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:59:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:00:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:00:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:00:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:00:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:01:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:01:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:01:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:01:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:02:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:02:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:02:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:02:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:03:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:03:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:03:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:03:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:04:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:04:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:04:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:04:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:05:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:05:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:05:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:05:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:06:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:06:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:06:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:06:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:07:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:07:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:07:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:07:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:08:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:08:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:08:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:08:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:09:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:09:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:09:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:09:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:10:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:10:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:10:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:10:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:11:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:11:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:11:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:11:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:12:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:12:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:12:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:12:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:13:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:13:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:13:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:13:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:14:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:14:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:14:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:14:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:15:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:15:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:15:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:15:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:16:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:16:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:16:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:16:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:17:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:17:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:17:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:17:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:18:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:18:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:18:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:18:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:19:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:19:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:19:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:19:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:20:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:20:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:20:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:20:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:21:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:21:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:21:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:21:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:22:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:22:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:22:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:22:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:23:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:23:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:23:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:23:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:24:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:24:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:24:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:24:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:25:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:25:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:25:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:25:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:26:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:26:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:26:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:26:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:27:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:27:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:27:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:27:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:28:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:28:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:28:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:28:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:29:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:29:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:29:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:29:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:30:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:30:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:30:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:30:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:31:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:31:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:31:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:31:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:32:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:32:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:32:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:32:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:33:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:33:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:33:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:33:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:34:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:34:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:34:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:34:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:35:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:35:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:35:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:35:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:36:05] "GET /api/notifications HTTP/1.1" 200 -
